articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
CARPS_8-12-2014-PS,4.65,4.64,t,0.2150537634408747,MINOR_ERROR,NA
CARPS_8-12-2014-PS,.001,6.949360249101448e-6,p,NA,MATCH,TRUE
CARPS_8-12-2014-PS,164,164,df,0,MATCH,NA
CARPS_8-12-2014-PS,0.36,0.36,d,0,MATCH,NA
CARPS_8-12-2014-PS,2.3,2.3,t,0,MATCH,NA
CARPS_8-12-2014-PS,0.028,0.028,p,0,MATCH,NA
CARPS_8-12-2014-PS,32,32,df,0,MATCH,NA
CARPS_8-12-2014-PS,0.4,0.4,d,0,MATCH,NA
CARPS_8-12-2014-PS,0.17,0.12,t,29.41176470588236,MAJOR_ERROR,NA
CARPS_8-12-2014-PS,0.868,0.908,p,4.60829493087558,MINOR_ERROR,NA
CARPS_8-12-2014-PS,196,196,df,0,MATCH,NA
CARPS_8-12-2014-PS,0.03,0.02,d,33.33333333333333,MAJOR_ERROR,NA
